,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
89,89,0.41582041699439287,36.0,27094.0,300,0.25,12000
90,90,0.42040341696701944,36.0,27395.0,300,0.25,12000
91,91,0.42493029194884,36.0,27696.0,300,0.25,12000
92,92,0.42947879200801253,36.0,27997.0,300,0.25,12000
93,93,0.4340202920138836,36.0,28298.0,300,0.25,12000
94,94,0.4385587089927867,36.0,28599.0,300,0.25,12000
95,95,0.44309654203243554,36.0,28900.0,300,0.25,12000
96,96,0.44771091698203236,36.0,29201.0,300,0.25,12000
97,97,0.45227300003170967,36.0,29502.0,300,0.25,12000
98,98,0.45687412505503744,36.0,29803.0,300,0.25,12000
99,99,0.4614078749436885,36.0,30104.0,300,0.25,12000
100,100,0.4659687919775024,36.0,30405.0,300,0.25,12000
101,101,0.47051404195372015,36.0,30706.0,300,0.25,12000
102,102,0.47505404194816947,36.0,31007.0,300,0.25,12000
103,103,0.47966141696088016,36.0,31308.0,300,0.25,12000
104,104,0.48416883405297995,36.0,31609.0,300,0.25,12000
105,105,0.4887951669516042,36.0,31910.0,300,0.25,12000
106,106,0.4936101669445634,36.0,32211.0,300,0.25,12000
107,107,0.49822983401827514,36.0,32512.0,300,0.25,12000
108,108,0.5032879170030355,36.0,32813.0,300,0.25,12000
109,109,0.5079627500381321,36.0,33114.0,300,0.25,12000
110,110,0.5128135000122711,36.0,33415.0,300,0.25,12000
111,111,0.5174771250458434,36.0,33716.0,300,0.25,12000
112,112,0.5223637500312179,36.0,34017.0,300,0.25,12000
113,113,0.5272100840229541,36.0,34318.0,300,0.25,12000
114,114,0.5319350840291008,36.0,34619.0,300,0.25,12000
115,115,0.5366946669528261,36.0,34920.0,300,0.25,12000
116,116,0.5413823750568554,36.0,35221.0,300,0.25,12000
117,117,0.5464003749657422,36.0,35522.0,300,0.25,12000
118,118,0.5513192090438679,36.0,35823.0,300,0.25,12000
119,119,0.5559271250385791,36.0,36124.0,300,0.25,12000
120,120,0.5605199170531705,36.0,36425.0,300,0.25,12000
121,121,0.5651540840044618,36.0,36726.0,300,0.25,12000
122,122,0.5698902920121327,36.0,37027.0,300,0.25,12000
123,123,0.5744882919825613,36.0,37328.0,300,0.25,12000
124,124,0.579226708970964,36.0,37629.0,300,0.25,12000
125,125,0.5837736669927835,36.0,37930.0,300,0.25,12000
126,126,0.5884294590214267,36.0,38231.0,300,0.25,12000
127,127,0.593073167023249,36.0,38532.0,300,0.25,12000
128,128,0.5976607919437811,36.0,38833.0,300,0.25,12000
129,129,0.6023065419867635,36.0,39134.0,300,0.25,12000
130,130,0.6068742090137675,36.0,39435.0,300,0.25,12000
131,131,0.6116912920260802,36.0,39736.0,300,0.25,12000
