,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,5.0,0,3.470899537205696e-05,"[np.int64(3), np.int64(0), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(0), np.int64(2), np.int64(0), np.int64(1), np.int64(4), np.int64(4), np.int64(1), np.int64(3), np.int64(4), np.int64(1), np.int64(1), np.int64(0), np.int64(3), np.int64(0)]",exponential,750,0.045,1e-10,749.998828572321,750,12000
1,12000,20.0,6846,3.044140625046566,"[np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3)]",exponential,750,0.045,1e-10,653.9866107597843,750,12000
